love,sex,6.77,0.011347055
tiger,cat,7.35,0
tiger,tiger,10,1
book,paper,7.46,0.06559691
computer,keyboard,7.62,0
computer,internet,7.58,0.03836288
plane,car,5.77,0.003769778
train,car,6.31,0.011952087
telephone,communication,7.5,0.052644808
television,radio,6.77,-0.007363323
media,radio,7.42,0.09224191
drug,abuse,6.85,-0.028024416
bread,butter,6.19,0
cucumber,potato,5.92,0
doctor,nurse,7,0
professor,doctor,6.62,0.074152276
student,professor,6.81,0.06930988
smart,student,4.62,0
smart,stupid,5.81,0
company,stock,7.08,0.030911349
stock,market,8.08,0.043864388
stock,phone,1.62,0.1655211
stock,CD,1.31,0
stock,jaguar,0.92,0
stock,egg,1.81,0
fertility,egg,6.69,0
stock,live,3.73,0.12963462
stock,life,0.92,0.18601976
book,library,7.46,-0.019238539
bank,money,8.12,0.09071223
wood,forest,7.73,0
money,cash,9.15,0.055854924
professor,cucumber,0.31,0
king,cabbage,0.23,0
king,queen,8.58,-0.034359373
king,rook,5.92,0
bishop,rabbi,6.69,0.17724705
Jerusalem,Israel,8.46,0
Jerusalem,Palestinian,7.65,0
holy,sex,1.62,0.1451697
fuck,sex,9.44,0
Maradona,football,8.62,0
football,soccer,9.03,0.16442667
football,basketball,6.81,0.079185985
football,tennis,6.63,0.024847258
tennis,racket,7.56,0
Arafat,peace,6.73,0
Arafat,terror,7.65,0
Arafat,Jackson,2.5,0
law,lawyer,8.38,0.08158989
movie,star,7.38,0.06412271
movie,popcorn,6.19,0
movie,critic,6.73,-0.04896895
movie,theater,7.92,0.10450754
physics,proton,8.12,0
physics,chemistry,7.35,-0.012430498
space,chemistry,4.88,0.13009176
alcohol,chemistry,5.54,0.009482248
vodka,gin,8.46,0
vodka,brandy,8.13,0
drink,car,3.04,0.06543386
drink,ear,1.31,0.10395888
drink,mouth,5.96,0.06296391
drink,eat,6.87,0.03817706
baby,mother,7.85,0.13768941
drink,mother,2.65,0.100798726
car,automobile,8.94,0.01877945
gem,jewel,8.96,0
journey,voyage,9.29,0.061157558
boy,lad,8.83,0
coast,shore,9.1,0.08482367
asylum,madhouse,8.87,0
magician,wizard,9.02,0
midday,noon,9.29,0
furnace,stove,8.79,0
food,fruit,7.52,0.028723957
bird,cock,7.1,0
bird,crane,7.38,0.092718825
tool,implement,6.46,0
brother,monk,6.27,0
crane,implement,2.69,0
lad,brother,4.46,0
journey,car,5.85,-0.018756852
monk,oracle,5,0
cemetery,woodland,2.08,0.13318077
food,rooster,4.42,0
coast,hill,4.38,0.10926296
forest,graveyard,1.85,0
shore,woodland,3.08,0.019547056
monk,slave,0.92,0
coast,forest,3.15,0.09921622
lad,wizard,0.92,0
chord,smile,0.54,0
glass,magician,2.08,0
noon,string,0.54,0.08234788
rooster,voyage,0.62,0
money,dollar,8.42,0.15431124
money,cash,9.08,0.055854924
money,currency,9.04,0.08340444
money,wealth,8.27,-0.014158282
money,property,7.57,-0.000600714
money,possession,7.29,0.057594687
money,bank,8.5,0.09071223
money,deposit,7.73,0.02867041
money,withdrawal,6.88,0.06306166
money,laundering,5.65,0
money,operation,3.31,0.02353952
tiger,jaguar,8,0
tiger,feline,8,0
tiger,carnivore,7.08,0
tiger,mammal,6.85,0
tiger,animal,7,0
tiger,organism,4.77,0
tiger,fauna,5.62,0
tiger,zoo,5.87,0
psychology,psychiatry,8.08,0
psychology,anxiety,7,-0.055496845
psychology,fear,6.85,0.02692069
psychology,depression,7.42,0.14298184
psychology,clinic,6.58,-0.09214419
psychology,doctor,6.42,0.14372416
psychology,Freud,8.21,0
