love,sex,6.77,1.602991557,1.602991557,0.05893358
tiger,cat,7.35,0,1.07713519,0
tiger,tiger,10,10,10,1
book,paper,7.46,1.145690176,1.145690176,0.007683069
computer,keyboard,7.62,0,1.07713519,0
computer,internet,7.58,2.17954095,2.17954095,0.12354841
plane,car,5.77,1.881806669,1.881806669,0.090180844
train,car,6.31,1.461739814,1.461739814,0.043103267
telephone,communication,7.5,2.155528985,2.155528985,0.12085735
television,radio,6.77,1.809736387,1.809736387,0.08210381
media,radio,7.42,0.797535561,0.797535561,-0.031335186
drug,abuse,6.85,1.698272584,1.698272584,0.06961188
bread,butter,6.19,0,1.07713519,0
cucumber,potato,5.92,0,1.07713519,0
doctor,nurse,7,0,1.07713519,0
professor,doctor,6.62,1.768825408,1.768825408,0.07751885
student,professor,6.81,1.25950891,1.25950891,0.02043892
smart,student,4.62,0,1.07713519,0
smart,stupid,5.81,0,1.07713519,0
company,stock,7.08,1.633139151,1.633139151,0.06231227
stock,market,8.08,2.20927604,2.20927604,0.12688087
stock,phone,1.62,0.900810057,0.900810057,-0.019761045
stock,CD,1.31,0,1.07713519,0
stock,jaguar,0.92,0,1.07713519,0
stock,egg,1.81,0,1.07713519,0
fertility,egg,6.69,0,1.07713519,0
stock,live,3.73,1.930853658,1.930853658,0.09567762
stock,life,0.92,1.390948919,1.390948919,0.035169616
book,library,7.46,1.108138379,1.108138379,0.003474578
bank,money,8.12,1.923570066,1.923570066,0.094861336
wood,forest,7.73,0,1.07713519,0
money,cash,9.15,1.502227813,1.502227813,0.047640823
professor,cucumber,0.31,0,1.07713519,0
king,cabbage,0.23,0,1.07713519,0
king,queen,8.58,2.399420593,2.399420593,0.14819068
king,rook,5.92,0,1.07713519,0
bishop,rabbi,6.69,1.802259329,1.802259329,0.081265844
Jerusalem,Israel,8.46,0,1.07713519,0
Jerusalem,Palestinian,7.65,0,1.07713519,0
holy,sex,1.62,0.573575937,0.573575937,-0.056434706
fuck,sex,9.44,0,1.07713519,0
Maradona,football,8.62,0,1.07713519,0
football,soccer,9.03,1.434437748,1.434437748,0.04004348
football,basketball,6.81,1.688162934,1.688162934,0.068478875
football,tennis,6.63,0.739475559,0.739475559,-0.037842065
tennis,racket,7.56,0,1.07713519,0
Arafat,peace,6.73,0,1.07713519,0
