love,sex,6.77,0.112080306
tiger,cat,7.35,0
tiger,tiger,10,1
book,paper,7.46,0.047326233
computer,keyboard,7.62,0
computer,internet,7.58,0.05824141
plane,car,5.77,-0.08425311
train,car,6.31,0.018724116
telephone,communication,7.5,0
television,radio,6.77,0.26626182
media,radio,7.42,0.10169479
drug,abuse,6.85,0.10757826
bread,butter,6.19,0
cucumber,potato,5.92,0
doctor,nurse,7,-0.036035873
professor,doctor,6.62,0.03717182
student,professor,6.81,0.10528054
smart,student,4.62,0
smart,stupid,5.81,0
company,stock,7.08,0.084036216
stock,market,8.08,0.19546288
stock,phone,1.62,0
stock,CD,1.31,0
stock,jaguar,0.92,0
stock,egg,1.81,-0.07215229
fertility,egg,6.69,0
stock,live,3.73,-0.007012911
stock,life,0.92,0.098674
book,library,7.46,0.012461409
bank,money,8.12,0.12865311
wood,forest,7.73,0.048093982
money,cash,9.15,0.16697866
professor,cucumber,0.31,0
king,cabbage,0.23,0
king,queen,8.58,0.09167648
king,rook,5.92,0
bishop,rabbi,6.69,0
Jerusalem,Israel,8.46,0
Jerusalem,Palestinian,7.65,0
holy,sex,1.62,0.081260026
fuck,sex,9.44,0
Maradona,football,8.62,0
football,soccer,9.03,0.085729465
football,basketball,6.81,0.005182368
football,tennis,6.63,0.025793895
tennis,racket,7.56,0
Arafat,peace,6.73,0
Arafat,terror,7.65,0
Arafat,Jackson,2.5,0
law,lawyer,8.38,0.09856781
movie,star,7.38,0.006811265
movie,popcorn,6.19,0
movie,critic,6.73,0
movie,theater,7.92,-0.015409434
physics,proton,8.12,0
physics,chemistry,7.35,0.008560573
space,chemistry,4.88,-0.012524433
alcohol,chemistry,5.54,-0.08040313
vodka,gin,8.46,0
vodka,brandy,8.13,0
drink,car,3.04,-0.01829153
drink,ear,1.31,0.023917302
drink,mouth,5.96,0
drink,eat,6.87,-0.11084111
baby,mother,7.85,0.061224844
drink,mother,2.65,-0.04799053
car,automobile,8.94,0
gem,jewel,8.96,-0.02638977
journey,voyage,9.29,0
boy,lad,8.83,0
coast,shore,9.1,0.17579713
asylum,madhouse,8.87,0
magician,wizard,9.02,0
midday,noon,9.29,0
furnace,stove,8.79,0
food,fruit,7.52,0
bird,cock,7.1,0
bird,crane,7.38,0
tool,implement,6.46,0.15325601
brother,monk,6.27,0
crane,implement,2.69,0
lad,brother,4.46,0
journey,car,5.85,0.07206488
monk,oracle,5,0
cemetery,woodland,2.08,0
food,rooster,4.42,0
coast,hill,4.38,0.1136979
forest,graveyard,1.85,0
shore,woodland,3.08,0
monk,slave,0.92,0
coast,forest,3.15,0.120450586
lad,wizard,0.92,0
chord,smile,0.54,0
glass,magician,2.08,0
noon,string,0.54,0
rooster,voyage,0.62,0
money,dollar,8.42,0.02392386
money,cash,9.08,0.16697866
money,currency,9.04,0.003738818
money,wealth,8.27,0.09451844
money,property,7.57,0.001943609
money,possession,7.29,0.089831024
money,bank,8.5,0.12865311
money,deposit,7.73,0
money,withdrawal,6.88,0
money,laundering,5.65,0
money,operation,3.31,0.13221535
tiger,jaguar,8,0
tiger,feline,8,0
tiger,carnivore,7.08,0
tiger,mammal,6.85,0
tiger,animal,7,0
tiger,organism,4.77,0
tiger,fauna,5.62,0
tiger,zoo,5.87,0
psychology,psychiatry,8.08,0
psychology,anxiety,7,0
psychology,fear,6.85,0
psychology,depression,7.42,0
psychology,clinic,6.58,0
psychology,doctor,6.42,0
psychology,Freud,8.21,0
psychology,mind,7.69,0
psychology,health,7.23,0
psychology,science,6.71,0
psychology,discipline,5.58,0
psychology,cognition,7.48,0
planet,star,8.45,0.022556363
planet,constellation,8.06,0
planet,moon,8.08,0.06242829
planet,sun,8.02,-0.026656192
planet,galaxy,8.11,-0.015095821
planet,space,7.92,-0.08704024
planet,astronomer,7.94,0
precedent,example,5.85,0.015693018
precedent,information,3.85,-0.05523809
precedent,cognition,2.81,0
precedent,law,6.65,0.07508572
precedent,collection,2.5,0.04552321
precedent,group,1.77,0.103897065
precedent,antecedent,6.04,0
cup,coffee,6.58,0.018147418
cup,tableware,6.85,0
cup,article,2.4,-0.08712295
cup,artifact,2.92,0
cup,object,3.69,0.10657705
cup,entity,2.15,-0.05193702
cup,drink,7.25,-0.034851376
cup,food,5,-0.09237106
cup,substance,1.92,-0.040847618
cup,liquid,5.9,0
jaguar,cat,7.42,0
jaguar,car,7.27,0
energy,secretary,1.81,-0.012437473
secretary,senate,5.06,0.01232579
energy,laboratory,5.09,0.021257102
computer,laboratory,6.78,-0.07990971
weapon,secret,6.06,0
FBI,fingerprint,6.94,0
FBI,investigation,8.31,0
investigation,effort,4.59,0.09139297
Mars,water,2.94,0
Mars,scientist,5.63,0
news,report,8.16,0.07713661
canyon,landscape,7.53,0
image,surface,4.56,-0.08055662
discovery,space,6.34,0.01804785
water,seepage,6.56,0
sign,recess,2.38,0
Wednesday,news,2.22,0
mile,kilometer,8.66,0
computer,news,4.47,0.030213099
territory,surface,5.34,0.09100718
atmosphere,landscape,3.69,0
president,medal,3,0.045765147
war,troops,8.13,0.12221059
record,number,6.31,0.063804455
skin,eye,6.22,-0.03585395
Japanese,American,6.5,0
theater,history,3.91,0.050332855
volunteer,motto,2.56,0.048701327
prejudice,recognition,3,-0.036889642
decoration,valor,5.63,0
century,year,7.59,0.06711204
century,nation,3.16,-0.021950157
